PlayerID,PlayerName,FantasyTeam,Status,InjuryStatus,Positions,ProTeam,ProjectedPoints,2024_TotalPoints,2024_AvgPoints,PercentOwned,PercentStarted,PercentChange
4430878,Jaxon Smith-Njigba,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",SEA,195.7027047,205.0,12.058823529411764,98.53356150826667,84.36698096187295,0.17010306292490895
-16007,Broncos D/ST,Free Agent,FREEAGENT,,"D/ST, Bench, IR",DEN,178.48759387,197.44,11.614117647058823,98.37717241477313,94.07870429580367,0.2540407583551172
-16023,Steelers D/ST,Free Agent,FREEAGENT,,"D/ST, Bench, IR",PIT,177.6468956,168.28,9.898823529411764,98.26757471117364,94.60146935527419,0.5897197685168578
16737,Mike Evans,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",TB,194.71388927,204.4,14.6,98.02822526260844,84.87827264335522,0.28007978065870986
4567048,Kenneth Walker III,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",SEA,240.27852554,159.7,13.308333333333335,97.88964792433,86.73708180066562,0.3641646202878235
3054850,Alvin Kamara,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",NO,229.25859091,231.8,16.557142857142857,97.84130320546505,85.22228060956385,0.3487902349773151
3121422,Terry McLaurin,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",WAS,204.0381588,227.3,13.370588235294118,97.77529439996357,68.7292326070621,0.7692289197726865
4047650,DK Metcalf,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",PIT,199.66705777,158.2,10.546666666666665,97.54498066251892,73.43215767053415,0.2700345112251483
-16034,Texans D/ST,Free Agent,FREEAGENT,,"D/ST, Bench, IR",HOU,179.04080167,171.24,10.07294117647059,97.4357289148387,87.95364559556776,0.1750345406450151
4569618,Garrett Wilson,,ONTEAM,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",NYJ,194.75190097,201.9,11.876470588235295,97.40183988901812,72.5924148368202,0.2874232200081934
3917657,Zack Baun,Free Agent,FREEAGENT,ACTIVE,"LB, DP, Bench, IR",PHI,141.23233686,145.0,9.0625,97.27250784455708,94.43639874487087,1.217419142409554
